Origen;Destino;Ruta;TiempoViaje;Hora;DíaSemana;Pasajeros;Retraso
San Bosco;Estadio;T50;6;4:00:00 p. m.;Lunes;11;0
San Fernando;Estadio;T47A;11;6:00:00 a. m.;Sábado;53;4
San Bosco;Centro;T50;10;8:30:00 p. m.;Viernes;96;5
San Fernando;Capri;T31;9;5:45:00 a. m.;Domingo;30;3
Universidades;Meléndez;P21A;7;3:15:00 p. m.;Sábado;15;3
Estadio;Capri;T31;8;9:15:00 p. m.;Lunes;55;4
Estadio;Capri;T31;4;7:45:00 a. m.;Domingo;35;0
San Fernando;Universidades;T47A;8;7:00:00 a. m.;Domingo;70;3
Universidades;Meléndez;P21A;7;1:45:00 p. m.;Jueves;39;3
San Fernando;Estadio;T47A;11;8:15:00 a. m.;Jueves;85;4
San Bosco;Estadio;T50;11;7:30:00 p. m.;Martes;61;5
Estadio;San Bosco;T50;8;1:45:00 p. m.;Lunes;49;2
Unidad Deportiva;Meléndez;P21A;5;11:00:00 a. m.;Lunes;11;0
San Fernando;Capri;T31;11;5:45:00 a. m.;Sábado;25;5
Capri;San Fernando;T31;7;4:15:00 p. m.;Sábado;60;1
Meléndez;Universidades;P21A;7;7:30:00 a. m.;Viernes;47;3
Terminal Andrés Sanín;Centro;E21;13;8:15:00 a. m.;Sábado;22;5
Unidad Deportiva;Meléndez;P21A;9;7:15:00 p. m.;Lunes;33;4
San Fernando;Estadio;T47A;7;11:30:00 a. m.;Domingo;83;0
Centro;San Bosco;T50;6;9:00:00 a. m.;Viernes;62;1
Capri;Estadio;T31;8;1:45:00 p. m.;Sábado;70;4
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;15;3:30:00 p. m.;Viernes;34;0
Universidades;San Fernando;T47A;5;5:30:00 a. m.;Sábado;25;0
Estadio;Capri;T31;8;10:30:00 a. m.;Lunes;93;4
Centro;Terminal Andrés Sanín;E21;8;10:00:00 p. m.;Sábado;63;0
Estadio;San Bosco;T50;8;7:15:00 a. m.;Viernes;94;2
San Fernando;Universidades;T47A;10;12:30:00 p. m.;Martes;81;5
Estadio;Capri;T31;9;1:45:00 p. m.;Domingo;10;5
Terminal Andrés Sanín;Centro;E21;10;6:15:00 a. m.;Domingo;67;2
San Fernando;Capri;T31;8;7:15:00 p. m.;Lunes;59;2
Terminal Andrés Sanín;Centro;E21;11;6:15:00 a. m.;Domingo;72;3
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;18;1:00:00 p. m.;Viernes;33;3
Estadio;San Fernando;T47A;9;6:15:00 a. m.;Jueves;31;2
Centro;San Bosco;T50;9;9:00:00 p. m.;Sábado;65;4
Meléndez;Unidad Deportiva;P21A;8;8:15:00 p. m.;Sábado;11;3
San Bosco;Estadio;T50;6;10:00:00 a. m.;Jueves;65;0
Estadio;San Bosco;T50;10;11:45:00 a. m.;Miércoles;23;4
Estadio;San Fernando;T47A;7;9:45:00 p. m.;Jueves;28;0
Terminal Andrés Sanín;Centro;E21;13;9:15:00 a. m.;Jueves;62;5
Estadio;San Fernando;T47A;7;7:15:00 p. m.;Domingo;64;0
Universidades;Meléndez;P21A;7;9:00:00 p. m.;Domingo;47;3
Universidades;Meléndez;P21A;6;8:45:00 p. m.;Domingo;17;2
Centro;Capri;T31;14;9:15:00 a. m.;Sábado;54;4
Estadio;Capri;T31;8;5:15:00 p. m.;Miércoles;59;4
Centro;Capri;T31;15;10:00:00 p. m.;Domingo;97;5
Centro;Terminal Andrés Sanín;E21;12;10:45:00 a. m.;Miércoles;94;4
Terminal Andrés Sanín;Centro;E21;9;9:45:00 a. m.;Miércoles;22;1
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;15;8:30:00 p. m.;Martes;18;0
Meléndez;Unidad Deportiva;P21A;7;7:15:00 p. m.;Lunes;71;2
Centro;San Bosco;T50;7;6:00:00 p. m.;Jueves;91;2
Centro;Terminal Andrés Sanín;E21;12;9:30:00 a. m.;Domingo;11;4
Terminal Andrés Sanín;Centro;E21;8;3:30:00 p. m.;Viernes;63;0
Estadio;Capri;T31;6;12:45:00 p. m.;Domingo;48;2
Universidades;Meléndez;P21A;8;2:30:00 p. m.;Martes;52;4
Estadio;San Bosco;T50;11;3:00:00 p. m.;Domingo;25;5
Centro;Terminal Andrés Sanín;E21;11;3:45:00 p. m.;Miércoles;31;3
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;15;6:45:00 a. m.;Jueves;45;0
Universidades;Meléndez;P21A;9;12:45:00 p. m.;Viernes;72;5
Meléndez;Unidad Deportiva;P21A;8;9:15:00 a. m.;Miércoles;89;3
Meléndez;Unidad Deportiva;P21A;6;7:30:00 a. m.;Lunes;97;1
Estadio;San Bosco;T50;8;10:45:00 a. m.;Lunes;17;2
San Bosco;Centro;T50;5;12:15:00 p. m.;Lunes;63;0
Unidad Deportiva;Meléndez;P21A;5;11:30:00 a. m.;Lunes;99;0
Centro;Capri;T31;10;6:00:00 a. m.;Domingo;76;0
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;20;9:00:00 a. m.;Viernes;64;5
Capri;Estadio;T31;8;3:45:00 p. m.;Miércoles;84;4
Capri;Centro;T31;14;7:15:00 p. m.;Jueves;95;4
Meléndez;Universidades;P21A;9;10:15:00 a. m.;Miércoles;92;5
San Fernando;Universidades;T47A;8;3:15:00 p. m.;Lunes;35;3
Universidades;San Fernando;T47A;6;1:45:00 p. m.;Lunes;54;1
Estadio;Capri;T31;8;7:30:00 p. m.;Jueves;17;4
Centro;San Bosco;T50;8;11:00:00 a. m.;Jueves;89;3
Estadio;Capri;T31;7;6:00:00 p. m.;Miércoles;33;3
Terminal Andrés Sanín;Centro;E21;12;7:30:00 a. m.;Jueves;47;4
Estadio;Capri;T31;9;2:15:00 p. m.;Martes;92;5
Unidad Deportiva;Meléndez;P21A;8;12:15:00 p. m.;Miércoles;47;3
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;18;12:30:00 p. m.;Martes;18;3
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;17;1:15:00 p. m.;Miércoles;98;2
Capri;Centro;T31;14;2:00:00 p. m.;Domingo;29;4
Meléndez;Unidad Deportiva;P21A;5;9:15:00 p. m.;Domingo;14;0
Estadio;Capri;T31;9;7:45:00 a. m.;Domingo;18;5
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;15;3:15:00 p. m.;Domingo;67;0
Meléndez;Universidades;P21A;5;3:45:00 p. m.;Domingo;31;1
Estadio;San Fernando;T47A;8;9:45:00 a. m.;Domingo;58;1
Capri;Centro;T31;14;6:45:00 p. m.;Viernes;69;4
Capri;San Fernando;T31;9;7:00:00 p. m.;Sábado;54;3
San Fernando;Universidades;T47A;6;6:30:00 p. m.;Domingo;83;1
San Fernando;Capri;T31;7;4:45:00 p. m.;Jueves;66;1
San Fernando;Capri;T31;9;11:00:00 a. m.;Jueves;82;3
Centro;Capri;T31;11;5:00:00 a. m.;Viernes;46;1
Capri;San Fernando;T31;7;4:45:00 p. m.;Lunes;82;1
Capri;San Fernando;T31;8;10:45:00 a. m.;Domingo;93;2
Centro;Capri;T31;10;10:00:00 a. m.;Domingo;71;0
San Fernando;Capri;T31;10;1:15:00 p. m.;Domingo;60;4
Universidades;Meléndez;P21A;8;10:15:00 a. m.;Lunes;70;4
Meléndez;Unidad Deportiva;P21A;5;7:30:00 a. m.;Domingo;76;0
Meléndez;Unidad Deportiva;P21A;6;1:30:00 p. m.;Viernes;49;1
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;17;5:45:00 a. m.;Jueves;58;2
Centro;San Bosco;T50;9;7:00:00 p. m.;Viernes;11;4
Centro;Capri;T31;12;9:30:00 p. m.;Jueves;77;2
Centro;San Bosco;T50;7;5:30:00 a. m.;Sábado;73;2
Universidades;Meléndez;P21A;5;9:15:00 a. m.;Martes;91;1
Centro;Capri;T31;13;9:15:00 a. m.;Viernes;62;3
Capri;San Fernando;T31;7;4:15:00 p. m.;Viernes;10;1
Centro;Capri;T31;12;5:30:00 a. m.;Miércoles;75;2
Meléndez;Unidad Deportiva;P21A;5;10:45:00 a. m.;Sábado;41;0
Meléndez;Unidad Deportiva;P21A;6;1:15:00 p. m.;Miércoles;14;1
Estadio;Capri;T31;6;4:30:00 p. m.;Jueves;61;2
Capri;San Fernando;T31;8;12:45:00 p. m.;Domingo;56;2
Universidades;Meléndez;P21A;7;1:00:00 p. m.;Martes;89;3
San Bosco;Centro;T50;10;2:00:00 p. m.;Jueves;74;5
Capri;Centro;T31;15;5:30:00 p. m.;Jueves;74;5
Unidad Deportiva;Meléndez;P21A;5;8:00:00 p. m.;Martes;84;0
San Fernando;Capri;T31;7;12:00:00 p. m.;Lunes;58;1
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;19;5:30:00 p. m.;Miércoles;52;4
Estadio;San Bosco;T50;9;8:00:00 p. m.;Lunes;91;3
San Fernando;Universidades;T47A;10;5:15:00 a. m.;Lunes;75;5
San Bosco;Estadio;T50;8;4:45:00 p. m.;Sábado;77;2
San Fernando;Universidades;T47A;5;8:15:00 a. m.;Sábado;67;0
Meléndez;Universidades;P21A;5;6:00:00 p. m.;Viernes;18;1
San Fernando;Universidades;T47A;8;5:30:00 a. m.;Martes;67;3
Centro;Terminal Andrés Sanín;E21;12;10:45:00 p. m.;Miércoles;90;4
Meléndez;Universidades;P21A;7;4:30:00 p. m.;Domingo;37;3
Centro;San Bosco;T50;9;7:00:00 p. m.;Jueves;96;4
Centro;Capri;T31;14;7:00:00 a. m.;Domingo;31;4
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;20;5:30:00 p. m.;Jueves;77;5
Centro;Capri;T31;11;2:45:00 p. m.;Domingo;37;1
San Fernando;Estadio;T47A;8;10:45:00 p. m.;Viernes;61;1
Capri;San Fernando;T31;11;11:00:00 a. m.;Sábado;85;5
Estadio;Capri;T31;5;3:45:00 p. m.;Jueves;59;1
Universidades;San Fernando;T47A;8;8:00:00 a. m.;Viernes;65;3
Estadio;San Bosco;T50;10;9:45:00 a. m.;Viernes;89;4
Terminal Andrés Sanín;Centro;E21;11;7:30:00 a. m.;Viernes;69;3
Meléndez;Unidad Deportiva;P21A;6;3:00:00 p. m.;Domingo;76;1
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;16;8:15:00 a. m.;Lunes;28;1
Terminal Andrés Sanín;Centro;E21;10;8:45:00 a. m.;Domingo;31;2
San Fernando;Universidades;T47A;8;10:30:00 p. m.;Lunes;25;3
San Bosco;Estadio;T50;8;5:30:00 a. m.;Viernes;19;2
Meléndez;Unidad Deportiva;P21A;8;3:15:00 p. m.;Lunes;66;3
Meléndez;Universidades;P21A;7;8:15:00 p. m.;Miércoles;19;3
San Fernando;Universidades;T47A;8;7:15:00 a. m.;Viernes;43;3
Meléndez;Universidades;P21A;7;12:30:00 p. m.;Sábado;41;3
Unidad Deportiva;Meléndez;P21A;6;2:30:00 p. m.;Miércoles;73;1
Centro;San Bosco;T50;8;2:30:00 p. m.;Lunes;34;3
Meléndez;Unidad Deportiva;P21A;5;9:00:00 p. m.;Miércoles;99;0
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;19;11:00:00 a. m.;Domingo;80;4
Meléndez;Unidad Deportiva;P21A;6;9:00:00 p. m.;Martes;16;1
Centro;Capri;T31;15;6:45:00 p. m.;Lunes;14;5
San Bosco;Centro;T50;8;12:15:00 p. m.;Miércoles;30;3
Terminal Andrés Sanín;Centro;E21;9;6:45:00 p. m.;Viernes;35;1
San Bosco;Estadio;T50;8;12:30:00 p. m.;Sábado;32;2
Terminal Andrés Sanín;Centro;E21;10;6:15:00 a. m.;Jueves;98;2
Estadio;San Fernando;T47A;9;9:15:00 a. m.;Miércoles;55;2
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;17;1:15:00 p. m.;Jueves;72;2
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;19;6:45:00 p. m.;Viernes;57;4
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;19;6:15:00 a. m.;Jueves;19;4
Centro;San Bosco;T50;9;10:45:00 a. m.;Miércoles;94;4
Universidades;San Fernando;T47A;10;10:00:00 a. m.;Martes;76;5
Centro;Terminal Andrés Sanín;E21;9;9:00:00 a. m.;Miércoles;12;1
Centro;Terminal Andrés Sanín;E21;8;5:45:00 p. m.;Sábado;78;0
Unidad Deportiva;Meléndez;P21A;10;5:15:00 p. m.;Lunes;73;5
Estadio;San Fernando;T47A;11;5:15:00 a. m.;Domingo;57;4
Centro;Capri;T31;13;8:30:00 p. m.;Lunes;34;3
Centro;Terminal Andrés Sanín;E21;9;2:30:00 p. m.;Martes;21;1
San Fernando;Universidades;T47A;6;6:15:00 a. m.;Miércoles;14;1
Unidad Deportiva;Meléndez;P21A;7;6:45:00 a. m.;Miércoles;15;2
Meléndez;Unidad Deportiva;P21A;6;4:00:00 p. m.;Domingo;37;1
Estadio;Capri;T31;6;10:30:00 a. m.;Miércoles;41;2
Universidades;San Fernando;T47A;10;2:15:00 p. m.;Domingo;35;5
Meléndez;Universidades;P21A;8;10:45:00 p. m.;Lunes;75;4
Centro;Capri;T31;11;6:00:00 p. m.;Martes;15;1
Centro;Terminal Andrés Sanín;E21;11;10:30:00 p. m.;Domingo;39;3
Universidades;San Fernando;T47A;9;7:15:00 p. m.;Sábado;17;4
San Fernando;Capri;T31;9;12:30:00 p. m.;Lunes;88;3
Universidades;San Fernando;T47A;8;11:30:00 a. m.;Jueves;87;3
Estadio;San Fernando;T47A;12;9:15:00 p. m.;Jueves;56;5
Centro;Capri;T31;11;12:15:00 p. m.;Sábado;74;1
Capri;San Fernando;T31;9;4:30:00 p. m.;Viernes;50;3
Estadio;Capri;T31;8;3:45:00 p. m.;Jueves;40;4
Capri;Centro;T31;15;2:45:00 p. m.;Jueves;11;5
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;18;2:45:00 p. m.;Miércoles;37;3
San Bosco;Estadio;T50;11;2:15:00 p. m.;Viernes;36;5
San Fernando;Capri;T31;7;2:45:00 p. m.;Jueves;93;1
Meléndez;Unidad Deportiva;P21A;9;5:30:00 p. m.;Sábado;93;4
Estadio;San Bosco;T50;9;8:30:00 p. m.;Sábado;36;3
Unidad Deportiva;Meléndez;P21A;7;5:45:00 p. m.;Viernes;36;2
San Bosco;Estadio;T50;6;7:45:00 a. m.;Miércoles;73;0
Capri;Estadio;T31;5;11:30:00 a. m.;Viernes;86;1
San Fernando;Universidades;T47A;5;6:30:00 a. m.;Martes;25;0
Universidades;San Fernando;T47A;7;9:00:00 a. m.;Martes;26;2
Terminal Andrés Sanín;Centro;E21;8;5:30:00 p. m.;Viernes;42;0
Capri;Centro;T31;12;9:45:00 p. m.;Miércoles;36;2
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;20;3:15:00 p. m.;Viernes;35;5
San Bosco;Estadio;T50;6;7:45:00 p. m.;Sábado;27;0
Capri;San Fernando;T31;7;10:45:00 p. m.;Jueves;91;1
Capri;Estadio;T31;8;5:45:00 p. m.;Viernes;90;4
San Bosco;Estadio;T50;9;9:30:00 p. m.;Domingo;25;3
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;15;7:00:00 a. m.;Lunes;26;0
Estadio;San Bosco;T50;10;6:45:00 a. m.;Jueves;37;4
Centro;Terminal Andrés Sanín;E21;11;7:15:00 p. m.;Miércoles;67;3
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;18;6:00:00 p. m.;Miércoles;78;3
Estadio;San Fernando;T47A;8;4:15:00 p. m.;Martes;49;1
Capri;San Fernando;T31;11;12:00:00 p. m.;Lunes;55;5
Centro;Terminal Andrés Sanín;E21;13;5:30:00 a. m.;Domingo;39;5
Terminal Andrés Sanín;Centro;E21;13;10:45:00 a. m.;Viernes;22;5
Estadio;Capri;T31;9;2:00:00 p. m.;Sábado;33;5
Capri;San Fernando;T31;11;9:45:00 p. m.;Martes;97;5
Estadio;San Bosco;T50;8;2:00:00 p. m.;Lunes;25;2
Capri;Centro;T31;12;8:00:00 a. m.;Lunes;56;2
Estadio;Capri;T31;5;11:45:00 a. m.;Domingo;24;1
Capri;San Fernando;T31;6;8:30:00 p. m.;Martes;98;0
Estadio;Capri;T31;6;3:30:00 p. m.;Martes;20;2
San Fernando;Capri;T31;9;5:15:00 a. m.;Domingo;16;3
San Bosco;Centro;T50;9;5:15:00 a. m.;Martes;50;4
Universidades;Meléndez;P21A;8;9:00:00 a. m.;Viernes;80;4
San Bosco;Estadio;T50;11;8:00:00 p. m.;Domingo;88;5
San Fernando;Universidades;T47A;10;3:30:00 p. m.;Domingo;100;5
Estadio;San Bosco;T50;8;8:00:00 p. m.;Lunes;54;2
San Fernando;Estadio;T47A;9;3:15:00 p. m.;Domingo;60;2
Capri;Centro;T31;11;6:15:00 a. m.;Lunes;10;1
Estadio;San Bosco;T50;11;1:30:00 p. m.;Lunes;96;5
Centro;San Bosco;T50;6;7:30:00 a. m.;Miércoles;11;1
Meléndez;Universidades;P21A;4;3:30:00 p. m.;Domingo;48;0
Unidad Deportiva;Meléndez;P21A;6;12:30:00 p. m.;Domingo;28;1
San Fernando;Capri;T31;7;10:30:00 p. m.;Lunes;100;1
San Fernando;Universidades;T47A;7;4:30:00 p. m.;Sábado;59;2
San Fernando;Capri;T31;10;11:45:00 a. m.;Sábado;37;4
Capri;Centro;T31;13;2:30:00 p. m.;Lunes;97;3
Terminal Andrés Sanín;Centro;E21;12;7:30:00 a. m.;Lunes;55;4
Capri;Centro;T31;15;11:15:00 a. m.;Lunes;61;5
Universidades;San Fernando;T47A;9;5:15:00 p. m.;Viernes;33;4
San Bosco;Centro;T50;5;7:15:00 p. m.;Miércoles;82;0
Terminal Andrés Sanín;Centro;E21;10;3:45:00 p. m.;Sábado;100;2
Terminal Andrés Sanín;Centro;E21;13;6:45:00 a. m.;Miércoles;89;5
Capri;Estadio;T31;8;6:30:00 a. m.;Sábado;90;4
Capri;Estadio;T31;8;10:00:00 a. m.;Martes;69;4
Terminal Andrés Sanín;Centro;E21;8;12:00:00 p. m.;Sábado;49;0
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;20;2:15:00 p. m.;Domingo;27;5
Meléndez;Universidades;P21A;6;6:45:00 a. m.;Martes;72;2
San Fernando;Capri;T31;6;12:45:00 p. m.;Sábado;88;0
Meléndez;Unidad Deportiva;P21A;5;9:30:00 a. m.;Lunes;71;0
Universidades;Meléndez;P21A;7;10:30:00 p. m.;Martes;87;3
Universidades;San Fernando;T47A;10;2:30:00 p. m.;Viernes;85;5
Unidad Deportiva;Meléndez;P21A;9;1:45:00 p. m.;Martes;92;4
Capri;Estadio;T31;7;6:30:00 p. m.;Viernes;89;3
San Bosco;Estadio;T50;10;5:30:00 p. m.;Sábado;51;4
Terminal Andrés Sanín;Centro;E21;10;6:15:00 p. m.;Sábado;18;2
Universidades;San Fernando;T47A;7;4:00:00 p. m.;Domingo;44;2
Estadio;Capri;T31;8;9:00:00 a. m.;Jueves;19;4
Meléndez;Unidad Deportiva;P21A;6;8:45:00 p. m.;Lunes;96;1
Universidades;Meléndez;P21A;9;9:15:00 p. m.;Miércoles;20;5
Estadio;Capri;T31;8;1:00:00 p. m.;Jueves;53;4
Centro;San Bosco;T50;7;9:15:00 a. m.;Jueves;33;2
San Fernando;Universidades;T47A;9;1:45:00 p. m.;Jueves;52;4
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;17;6:45:00 a. m.;Miércoles;50;2
Estadio;San Bosco;T50;7;9:00:00 p. m.;Miércoles;32;1
San Fernando;Universidades;T47A;7;5:45:00 a. m.;Martes;38;2
Universidades;Meléndez;P21A;4;10:15:00 p. m.;Viernes;87;0
Estadio;San Bosco;T50;6;6:30:00 p. m.;Viernes;57;0
Centro;Terminal Andrés Sanín;E21;12;5:00:00 p. m.;Lunes;11;4
Terminal Andrés Sanín;Centro;E21;12;12:15:00 p. m.;Viernes;31;4
Unidad Deportiva;Meléndez;P21A;9;4:15:00 p. m.;Martes;41;4
San Fernando;Capri;T31;10;8:15:00 a. m.;Jueves;98;4
Capri;Centro;T31;11;9:00:00 p. m.;Sábado;65;1
Meléndez;Universidades;P21A;8;4:45:00 p. m.;Miércoles;97;4
Capri;San Fernando;T31;7;3:15:00 p. m.;Martes;53;1
Meléndez;Unidad Deportiva;P21A;7;10:15:00 p. m.;Sábado;99;2
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;16;9:15:00 p. m.;Jueves;79;1
Capri;Estadio;T31;6;12:30:00 p. m.;Sábado;44;2
San Bosco;Centro;T50;10;10:00:00 a. m.;Jueves;33;5
Meléndez;Unidad Deportiva;P21A;9;8:00:00 p. m.;Miércoles;32;4
San Fernando;Estadio;T47A;12;12:45:00 p. m.;Viernes;12;5
Estadio;San Fernando;T47A;9;5:45:00 a. m.;Lunes;52;2
San Fernando;Universidades;T47A;9;6:30:00 p. m.;Miércoles;76;4
Estadio;Capri;T31;7;9:30:00 p. m.;Lunes;29;3
Terminal Andrés Sanín;Centro;E21;13;6:00:00 a. m.;Miércoles;95;5
Centro;Capri;T31;11;6:45:00 a. m.;Miércoles;68;1
Capri;San Fernando;T31;6;2:15:00 p. m.;Lunes;78;0
San Fernando;Estadio;T47A;12;6:00:00 a. m.;Domingo;96;5
San Bosco;Centro;T50;7;8:30:00 a. m.;Lunes;40;2
Meléndez;Unidad Deportiva;P21A;6;4:30:00 p. m.;Martes;80;1
Terminal Andrés Sanín;Centro;E21;11;5:15:00 p. m.;Miércoles;18;3
San Fernando;Universidades;T47A;9;12:00:00 p. m.;Sábado;98;4
Centro;Terminal Andrés Sanín;E21;8;12:00:00 p. m.;Sábado;12;0
Estadio;Capri;T31;8;4:45:00 p. m.;Miércoles;65;4
Centro;Capri;T31;15;9:30:00 p. m.;Domingo;40;5
Universidades;San Fernando;T47A;10;7:15:00 p. m.;Lunes;16;5
San Fernando;Universidades;T47A;6;5:15:00 a. m.;Viernes;22;1
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;19;7:15:00 p. m.;Martes;83;4
San Fernando;Capri;T31;11;8:30:00 a. m.;Martes;23;5
Terminal Andrés Sanín;Centro;E21;11;9:45:00 p. m.;Miércoles;95;3
San Bosco;Centro;T50;10;9:45:00 p. m.;Miércoles;56;5
Terminal Andrés Sanín;Centro;E21;10;10:45:00 p. m.;Lunes;29;2
San Bosco;Centro;T50;10;7:45:00 p. m.;Domingo;15;5
San Fernando;Estadio;T47A;8;10:15:00 p. m.;Sábado;34;1
